cgpa,score,internships,skills,backlogs,certifications,communication,programming_score,extra_curricular,gender,domain,placed
6.84,4.19,3,5,1,3,6.01,5.08,1,Male,CIVIL,0
9.66,7.82,3,7,3,0,5.02,8.18,0,Male,ECE,0
8.59,5.89,2,1,1,3,7.88,6.47,1,Male,ECE,0
7.93,7.05,0,3,1,2,6.33,9.25,0,Male,CS,1
5.76,9.45,3,2,2,4,5.38,7.09,1,Male,CS,0
5.76,5.5,3,9,1,3,5.6,9.84,0,Male,MECH,0
5.28,6.46,1,6,0,4,6.16,7.61,0,Male,CIVIL,1
9.24,8.53,3,3,4,0,5.56,5.34,1,Male,CIVIL,1
7.95,5.37,3,8,4,4,6.72,8.93,1,Male,MECH,1
8.47,4.46,1,8,3,4,4.19,6.07,1,Male,CIVIL,1
5.1,5.74,2,2,1,1,5.68,6.09,1,Female,CIVIL,0
9.75,4.97,3,6,0,1,6.47,4.19,0,Female,CIVIL,0
9.08,9.58,1,7,3,1,7.62,7.29,1,Male,CIVIL,1
6.04,8.85,0,2,2,4,5.63,7.21,0,Female,CIVIL,0
5.89,7.8,2,2,3,2,4.8,6.14,0,Female,CS,0
5.9,9.23,0,1,3,4,4.46,9.37,1,Male,CIVIL,0
6.49,8.82,0,8,1,2,9.64,4.77,0,Male,CS,1
7.57,5.12,1,1,2,2,6.5,5.98,0,Male,CIVIL,0
7.12,9.36,3,9,3,1,7.49,5.93,0,Female,MECH,1
6.43,7.24,1,6,0,3,9.52,4.55,0,Female,ECE,0
8.0,8.84,1,7,0,0,4.5,6.89,1,Male,CS,0
5.68,9.38,1,7,4,1,9.26,8.13,1,Male,CIVIL,0
6.43,5.91,1,3,2,1,7.31,7.07,1,Male,MECH,1
6.8,4.66,2,2,2,3,4.99,4.94,1,Female,ECE,0
7.23,5.37,3,9,4,0,6.47,6.26,0,Female,CS,1
8.85,6.56,0,8,3,4,8.67,4.02,0,Female,ECE,1
5.98,8.91,0,7,2,4,6.88,9.21,1,Female,MECH,1
7.52,9.16,3,9,0,1,9.91,4.51,1,Male,CS,0
7.9,4.04,0,4,0,0,6.26,7.58,1,Male,ECE,0
5.23,7.06,3,4,1,1,8.5,9.92,0,Male,CIVIL,0
7.98,6.5,0,1,2,2,6.36,7.22,1,Male,CS,0
5.84,5.33,1,8,3,1,8.97,9.54,1,Female,ECE,1
5.32,4.72,0,3,4,1,7.41,5.42,1,Female,MECH,1
9.65,6.03,3,7,4,4,4.38,8.56,0,Male,MECH,1
